"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.01338 128468 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01348 128455 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01358 128442 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01368 128429 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01378 128416 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01388 128403 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01398 128390 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01408 128377 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01418 128364 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01428 128351 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01438 128338 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01448 128325 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01458 128312 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01468 128299 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01478 128286 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01488 128273 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01498 128260 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01508 128247 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01518 128234 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.01528 128221 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01538 128208 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01548 128195 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01557 128182 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01567 128169 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01577 128156 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01587 128143 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01597 128130 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01607 128117 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01617 128104 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01627 128091 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01637 128078 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01647 128065 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01657 128052 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01667 128039 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01677 128026 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01687 128013 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01697 128000 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01707 127987 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01717 127974 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01727 127961 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.01737 127948 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.01747 127935 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.01757 127922 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.01767 127909 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.01777 127896 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.01787 127883 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.01797 127870 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.01807 127857 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
